set, measurements,,,,set,measure,n,t,inv measure,FOPDT,,Ts,,Td,L,K,du,y0
0.3018,-0.0595,,,,-3.0819,3.0159,0,0,-3.0159,-3.0159,,0.0125,,0.03125,0.0625,0.47319835166618,6.1638,-3.0159
0.3018,-0.0794,,,,3.0819,3.0337,1,0.0125,-3.0337,-3.0159,,,,,,,,
0.3018,-0.0992,,,,3.0819,2.7399,2,0.025,-2.7399,-3.0159,,,,,,,,
0.3018,-0.1389,,,,3.0819,2.2421,3,0.0375,-2.2421,-3.0159,,,,,,,,
0.3018,-0.1984,,,,3.0819,1.7063,4,0.05,-1.7063,-3.0159,,,,,,,,
0.3018,-0.2381,,,,3.0819,1.1111,5,0.0625,-1.1111,-3.0159,,,,,,,,
0.3018,-0.2778,,,,3.0819,0.4365,6,0.075,-0.4365,-1.06004070511103,,,,,,,,
0.3018,-0.3571,,,,3.0819,-0.3571,7,0.0875,0.3571,0.251010987478172,,,,,,,,
0.3018,-0.3968,,,,3.0819,-1.0913,8,0.1,1.0913,1.12983521840967,,,,,,,,
0.3018,-0.4564,,,,3.0819,-1.7262,9,0.1125,1.7262,1.71892871734491,,,,,,,,
0.3018,-0.5357,,,,3.0819,-2.2024,10,0.125,2.2024,2.11380989867047,,,,,,,,
0.3018,-0.5952,,,,3.0819,-2.5196,11,0.1375,2.5196,2.37850667031523,,,,,,,,
0.3018,-0.6746,,,,3.0819,-2.659,12,0.15,2.659,2.55593822246963,,,,,,,,
0.3018,-0.754,,,,3.0819,-2.7976,13,0.1625,2.7976,2.67487414867795,,,,,,,,
0.3018,-0.8333,,,,3.0819,-2.8571,14,0.175,2.8571,2.75459928420919,,,,,,,,
0.3018,-0.9127,,,,3.0819,-2.8968,15,0.1875,2.8968,2.8080406407287,,,,,,,,
0.3018,-0.9921,,,,3.0819,-2.9167,16,0.2,2.9167,2.84386345329106,,,,,,,,
0.3018,-1.0912,,,,3.0819,-2.9167,17,0.2125,2.9167,2.86787620265698,,,,,,,,
0.3018,-1.1707,,,,3.0819,-2.9167,18,0.225,2.9167,2.8839724299174,,,,,,,,
0.3018,-1.2897,,,,3.0819,-2.9365,19,0.2375,2.9365,2.89476205371559,,,,,,,,
0.3018,-1.388,,,,3.0819,-2.9363,20,0.25,2.9363,2.90199455483671,,,,,,,,
0.3018,-1.4891,,,,3.0819,-2.9169,21,0.2625,2.9169,2.90684264532117,,,,,,,,
0.3018,-1.5873,,,,3.0819,-2.9167,22,0.275,2.9167,2.9100924175579,,,,,,,,
0.3018,-1.7063,,,,3.0819,-2.9167,23,0.2875,2.9167,2.91227080503322,,,,,,,,
0.3018,-1.8254,,,,3.0819,-2.9167,24,0.3,2.9167,2.91373102182597,,,,,,,,
